"","ht","at","ht_score","at_score","ht_spread","diff","value_side","value_diff","x_axis","value_rating"
"1","Notre Dame","Navy",25.3473634147644,13.8016656684875,"-20",-11.5456977462769,"Navy",8.45430225372314,"Notre Dame",0.0845430225372314
"2","San Diego State","Ohio",18.0371265220642,10.2041972351074,"-2.5",-7.83292928695679,"San Diego State",10.3329292869568,"Ohio",0.103329292869568
"3","Vanderbilt","Hawai'i",38.1378395843506,20.1455258560181,"-18.0",-17.9923137283325,"Hawai'i",0.00768627166748104,"Vanderbilt",7.68627166748104e-05
"4","Louisiana Tech","Florida International",30.2210088348389,15.5586165237427,"-18.5",-14.6623923110962,"Florida International",3.83760768890381,"Louisiana Tech",0.0383760768890381
