"","ht","at","ht_score","at_score","ht_spread","diff","value_side","value_diff","x_axis","value_rating"
"1","Connecticut","NC State",17.251358833313,28.8877338409424,"15",11.6363750076294,"Connecticut",3.36362499237061,"NC State",0.0336362499237061
"2","Miami","Miami (OH)",20.1917630386353,28.8702387237549,"-16.5",8.67847568511963,"Miami (OH)",25.1784756851196,"Miami",0.251784756851196
"3","Georgia Tech","Louisville",12.2980664730072,16.2877017593384,"7.5",3.98963528633118,"Georgia Tech",3.51036471366882,"Louisville",0.0351036471366882
"4","Boston College","Northern Illinois",20.8899519634247,23.6586127471924,"-8.0",2.7686607837677,"Northern Illinois",10.7686607837677,"Boston College",0.107686607837677
"5","Tennessee","Virginia",53.2367766571045,13.2421373748779,"-27.5",-39.9946392822266,"Tennessee",67.4946392822266,"Virginia",0.674946392822266
"6","North Carolina","South Carolina",32.8511652374268,29.9694522476196,"-2.5",-2.88171298980713,"North Carolina",5.38171298980713,"South Carolina",0.0538171298980713
"7","Virginia Tech","Old Dominion",19.1023946762085,18.9207150268555,"-15.5",-0.181679649353029,"Old Dominion",15.318320350647,"Virginia Tech",0.15318320350647
"8","Florida State","LSU",31.4047665786743,24.4559690475464,"2.5",-6.94879753112793,"Florida State",9.44879753112793,"LSU",0.0944879753112793
"9","Duke","Clemson",29.3490522384644,35.5732732391357,"12.5",6.22422100067139,"Duke",6.27577899932861,"Clemson",0.0627577899932861
