"","game_id","season","season_type","week","start_date","home_team","home_conference","home_score","away_team","away_conference","away_score","provider","spread","formatted_spread","spread_open","over_under","over_under_open","home_moneyline","away_moneyline"
"39",401520202,2023,"regular",2,"2023-09-09T19:30:00.000Z","Michigan","Big Ten",NA,"UNLV","Mountain West",NA,"Bovada","-36.0","Michigan -36.0","-36.0","58.5","58.5",NA,NA
"40",401520201,2023,"regular",2,"2023-09-09T19:30:00.000Z","Miami","ACC",NA,"Texas A&M","SEC",NA,"Bovada","4.5","Texas A&M -4.5","4.5","49.5","49.5",175,-210
"41",401520201,2023,"regular",2,"2023-09-09T19:30:00.000Z","Miami","ACC",NA,"Texas A&M","SEC",NA,"DraftKings","7","Texas A&M -7","6.5",NA,NA,170,NA
"42",401520194,2023,"regular",2,"2023-09-09T19:30:00.000Z","Iowa State","Big 12",NA,"Iowa","Big Ten",NA,"Bovada","4.0","Iowa -4.0","3.5","36.0","36.0",NA,NA
"43",401525829,2023,"regular",2,"2023-09-09T16:00:00.000Z","Kansas State","Big 12",NA,"Troy","Sun Belt",NA,"Bovada","-16.5","Kansas State -16.5","-17.0","50.0","50.0",-850,550
"44",401525498,2023,"regular",2,"2023-09-09T16:00:00.000Z","Virginia","ACC",NA,"James Madison","Sun Belt",NA,"Bovada","6.5","James Madison -6.5","6.0","44.0","44.0",210,-250
"45",401525436,2023,"regular",2,"2023-09-09T16:00:00.000Z","NC State","ACC",NA,"Notre Dame","FBS Independents",NA,"Bovada","7.5","Notre Dame -7.5","7.5","50.5","50.5",270,-340
"46",401525436,2023,"regular",2,"2023-09-09T16:00:00.000Z","NC State","ACC",NA,"Notre Dame","FBS Independents",NA,"DraftKings","8","Notre Dame -8","8",NA,NA,270,NA
"47",401523999,2023,"regular",2,"2023-09-09T16:00:00.000Z","Baylor","Big 12",NA,"Utah","Pac-12",NA,"Bovada","6.0","Utah -6.0","7.0","51.0","51.0",195,-235
"48",401523999,2023,"regular",2,"2023-09-09T16:00:00.000Z","Baylor","Big 12",NA,"Utah","Pac-12",NA,"DraftKings","-1.5","Baylor -1.5","-1.5",NA,NA,185,NA
"49",401520215,2023,"regular",2,"2023-09-09T16:00:00.000Z","Virginia Tech","ACC",NA,"Purdue","Big Ten",NA,"Bovada","-2.0","Virginia Tech -2.0","0.0","50.0","50.0",-120,100
"50",401520191,2023,"regular",2,"2023-09-09T16:00:00.000Z","Georgia","SEC",NA,"Ball State","Mid-American",NA,"Bovada","-42.5","Georgia -42.5","-41.5","53.0","53.0",NA,NA
"51",401520188,2023,"regular",2,"2023-09-09T16:00:00.000Z","Colorado","Pac-12",NA,"Nebraska","Big Ten",NA,"Bovada","-3.0","Colorado -3.0","-2.5","58.5","58.5",-150,130
"52",401520188,2023,"regular",2,"2023-09-09T16:00:00.000Z","Colorado","Pac-12",NA,"Nebraska","Big Ten",NA,"DraftKings","7.5","Nebraska -7.5","7.5",NA,NA,-155,NA
"53",401520216,2023,"regular",2,"2023-09-09T15:00:00.000Z","Wake Forest","ACC",NA,"Vanderbilt","SEC",NA,"Bovada","-11.5","Wake Forest -11.5","-10.0","58.5","58.5",-470,345
"54",401525497,2023,"regular",2,"2023-09-09T19:30:00.000Z","Syracuse","ACC",NA,"Western Michigan","Mid-American",NA,"Bovada","-21.0","Syracuse -21.0","-21.0","52.5","52.5",NA,NA
"55",401525496,2023,"regular",2,"2023-09-09T22:30:00.000Z","Pittsburgh","ACC",NA,"Cincinnati","Big 12",NA,"Bovada","-7.5","Pittsburgh -7.5","-7.0","48.5","48.5",NA,NA
"56",401520195,2023,"regular",2,"2023-09-08T23:30:00.000Z","Kansas","Big 12",NA,"Illinois","Big Ten",NA,"Bovada","-3.5","Kansas -3.5","-3.0","55.5","55.5",-180,155
"57",401520195,2023,"regular",2,"2023-09-08T23:30:00.000Z","Kansas","Big 12",NA,"Illinois","Big Ten",NA,"DraftKings","-2","Kansas -2","-2",NA,NA,-166,NA
